City,Fatal Crashes,Walkscore
New York,1.56,88
LOS ANGELES,8.1,69
CHICAGO,7.88,77
HOUSTON,14.09,47
PHOENIX,17.19,41
PHILADELPHIA,7.99,75
SAN ANTONIO,12.93,37
SAN DIEGO,7.87,53
DALLAS,16.34,46
AUSTIN,11.53,42
JACKSONVILLE,19.36,26
FORT WORTH,12.68,35
SAN JOSE,7.42,51
COLUMBUS,14.46,41
CHARLOTTE,11.86,26
INDIANAPOLIS,15.44,31
SEATTLE,6.1,74
SAN FRANCISCO,3.56,89
DENVER,8.92,61
OKLAHOMA CITY,14.06,34
EL PASO,11.49,40
NASHVILLE,16.25,29
LAS VEGAS,4.97,42
WASHINGTON,7.54,98
MEMPHIS,33.9,35
LOUISVILLE,15.82,34
DETROIT,21.47,51
PORTLAND,9.81,67
BOSTON,4.45,83
BALTIMORE,7.37,64
ALBUQUERQUE,22.14,43
MILWAUKEE,11.45,62
FRESNO,14.02,47
TUCSON,20.49,43
SACRAMENTO,12.61,49
MESA,10.08,38
KANSAS CITY,20.28,35
COLORADO SPRINGS,10.2,36
ATLANTA,20.02,48
OMAHA,5.7,48
RALEIGH,6.2,31
VIRGINIA BEACH,7.18,33
LONG BEACH,6.67,73
MIAMI,16.52,77
OAKLAND,4.1,75
MINNEAPOLIS,6.06,71
BAKERSFIELD,11.9,37
TULSA,17.21,39
AURORA,12.16,43
TAMPA,19.53,50
